
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000269                       # Number of seconds simulated (Second)
simTicks                                    269495500                       # Number of ticks simulated (Tick)
finalTick                                   269495500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.94                       # Real time elapsed on the host (Second)
hostTickRate                                 68404976                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1216828                       # Number of bytes of host memory used (Byte)
simInsts                                       423336                       # Number of instructions simulated (Count)
simOps                                         805829                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107451                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     204534                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                           538992                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1092097                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      208                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1006359                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1510                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               286470                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            389429                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              475688                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               2.115586                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              2.515482                       # Number of insts issued each cycle
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     80.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     68      0.35%     80.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     80.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     88      0.45%     81.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     4      0.02%     81.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     81.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     81.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    2      0.01%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     81.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                   2454     12.57%     93.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                   671      3.44%     97.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead               147      0.75%     97.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite              399      2.04%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass         6854      0.68%      0.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu        775584     77.07%     77.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult          788      0.08%     77.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv          5168      0.51%     78.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd         3064      0.30%     78.65% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp            0      0.00%     78.65% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt          160      0.02%     78.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult            0      0.00%     78.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     78.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     78.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     78.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     78.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd         1681      0.17%     78.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     78.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu         3562      0.35%     79.18% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp            0      0.00%     79.18% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt         3701      0.37%     79.55% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc         3025      0.30%     79.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     79.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     79.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift         1126      0.11%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     79.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt          671      0.07%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead       136223     13.54%     93.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite        52497      5.22%     98.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead         8138      0.81%     99.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite         4117      0.41%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        1006359                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.867113                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               19515                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.019392                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  2447866                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 1329409                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          951519                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     61565                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    49502                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses            28583                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      987953                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        31067                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                          6891                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                         100544                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                         5320                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                    1092305                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                     1007                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                       151291                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                       59874                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                       108                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                           951                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                         3901                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                198                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect               2339                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect            5253                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                     7592                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                            992551                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                        141383                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     13808                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                             197209                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         104706                       # Number of branches executed (Count)
system.cpu.numStoreInsts                        55826                       # Number of stores executed (Count)
system.cpu.numRate                           1.841495                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                       984730                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                      980102                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                        737047                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                       1210214                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.818398                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.609022                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             815                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           63304                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                      423336                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                        805829                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.273201                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.273201                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.785422                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.785422                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    1423473                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                    807747                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                       37051                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                      22244                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                      534985                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                     325552                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                    419839                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       54                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads         151291                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         59874                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         8709                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         4192                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  141026                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            115964                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              6952                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                60796                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                   58426                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.961017                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    6635                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  6                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            3197                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               1798                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1399                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          394                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          282622                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              72                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              6547                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples       434263                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.855624                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.769811                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0          243346     56.04%     56.04% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1           40916      9.42%     65.46% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2           23729      5.46%     70.92% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3           38603      8.89%     79.81% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4           13411      3.09%     82.90% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5            9316      2.15%     85.05% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6            5798      1.34%     86.38% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7            6518      1.50%     87.88% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8           52626     12.12%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total       434263                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted               423336                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                 805829                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                      162174                       # Number of memory references committed (Count)
system.cpu.commit.loads                        111301                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          12                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                      92209                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                      21666                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                      790188                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  5473                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass         4542      0.56%      0.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu       621465     77.12%     77.68% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult          741      0.09%     77.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         4968      0.62%     78.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd         1589      0.20%     78.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     78.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           96      0.01%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd         1344      0.17%     78.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     78.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu         2452      0.30%     79.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     79.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt         2634      0.33%     79.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc         2663      0.33%     79.73% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     79.73% # Class of committed instruction (Count)
