
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000269                       # Number of seconds simulated (Second)
simTicks                                    269197000                       # Number of ticks simulated (Tick)
finalTick                                   269197000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.20                       # Real time elapsed on the host (Second)
hostTickRate                                 64127156                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1216856                       # Number of bytes of host memory used (Byte)
simInsts                                       423336                       # Number of instructions simulated (Count)
simOps                                         805829                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   100843                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     191957                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                           538395                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1093130                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      208                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1006964                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1502                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               287503                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            391345                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              473830                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               2.125159                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              2.517594                       # Number of insts issued each cycle
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     80.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead       136287     13.53%     93.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite        52519      5.22%     98.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead         8140      0.81%     99.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite         4122      0.41%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        1006964                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.870307                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               19559                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.019424                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  2447217                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 1331482                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          951958                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     61602                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    49496                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses            28588                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      988506                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        31098                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                          6935                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                          99541                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                         5385                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                    1093338                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                      999                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                       151409                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                       59935                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                       108                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                           955                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                         3955                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                199                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect               2340                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect            5301                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                     7641                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                            993054                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                        141419                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     13910                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                             197261                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         104746                       # Number of branches executed (Count)
system.cpu.numStoreInsts                        55842                       # Number of stores executed (Count)
system.cpu.numRate                           1.844471                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                       985253                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                      980546                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                        737414                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                       1210896                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.821239                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.608982                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             809                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           64565                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                      423336                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                        805829                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.271791                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.271791                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.786293                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.786293                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    1423950                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                    808174                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                       37056                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                      22244                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                      535157                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                     325599                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                    420014                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       54                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads         151409                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         59935                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         8709                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         4192                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  141178                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            116103                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              6949                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                60897                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                   58520                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.960967                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    6632                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  6                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            3198                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               1798                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1400                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          394                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          283598                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              72                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              6589                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples       432245                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.864288                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.773666                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0          241379     55.84%     55.84% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1           40865      9.45%     65.30% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2           23741      5.49%     70.79% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3           38603      8.93%     79.72% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4           13392      3.10%     82.82% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5            9301      2.15%     84.97% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6            5789      1.34%     86.31% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7            6534      1.51%     87.82% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8           52641     12.18%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total       432245                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted               423336                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                 805829                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                      162174                       # Number of memory references committed (Count)
system.cpu.commit.loads                        111301                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          12                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                      92209                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                      21666                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                      790188                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  5473                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass         4542      0.56%      0.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu       621465     77.12%     77.68% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult          741      0.09%     77.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         4968      0.62%     78.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd         1589      0.20%     78.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     78.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           96      0.01%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     78.60% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd         1344      0.17%     78.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     78.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu         2452      0.30%     79.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     79.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt         2634      0.33%     79.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc         2663      0.33%     79.73% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     79.73% # Class of committed instruction (Count)
